tensor,wnorm,w2
model.layers.20.mlp.down_proj.weight,81881.59375,17032.81640625
model.layers.20.mlp.gate_proj.weight,28140.513671875,14727.5712890625
model.layers.20.mlp.up_proj.weight,24944.552734375,17796.33203125
model.layers.20.self_attn.k_proj.weight,101961.7734375,2008.574951171875
model.layers.20.self_attn.o_proj.weight,21601.8984375,3980.81396484375
model.layers.20.self_attn.q_proj.weight,234778.09375,6124.2783203125
model.layers.20.self_attn.v_proj.weight,63391.546875,2282.724609375
model.layers.21.mlp.down_proj.weight,125218.3046875,17663.6328125
model.layers.21.mlp.gate_proj.weight,35487.015625,15479.9609375
model.layers.21.mlp.up_proj.weight,30334.537109375,18399.455078125
model.layers.21.self_attn.k_proj.weight,140527.34375,2096.77880859375
model.layers.21.self_attn.o_proj.weight,26674.626953125,4394.70263671875
model.layers.21.self_attn.q_proj.weight,341705.53125,6142.20849609375
model.layers.21.self_attn.v_proj.weight,103500.421875,2665.207763671875
model.layers.22.mlp.down_proj.weight,157970.1875,18295.1015625
model.layers.22.mlp.gate_proj.weight,43604.875,16035.74609375
model.layers.22.mlp.up_proj.weight,36661.88671875,18761.01171875
model.layers.22.self_attn.k_proj.weight,198689.0625,2054.784912109375
model.layers.22.self_attn.o_proj.weight,41906.73046875,4305.14794921875
model.layers.22.self_attn.q_proj.weight,417239.28125,5840.01416015625
model.layers.22.self_attn.v_proj.weight,137952.640625,2586.595458984375
model.layers.23.mlp.down_proj.weight,182122.796875,18661.3203125
model.layers.23.mlp.gate_proj.weight,52127.42578125,16437.9375
model.layers.23.mlp.up_proj.weight,43882.0546875,18885.486328125
model.layers.23.self_attn.k_proj.weight,258813.71875,1999.99560546875
model.layers.23.self_attn.o_proj.weight,29460.470703125,4372.486328125
model.layers.23.self_attn.q_proj.weight,504097.96875,5100.53564453125
model.layers.23.self_attn.v_proj.weight,168917.09375,2495.029052734375
model.layers.24.mlp.down_proj.weight,249456.03125,18785.0078125
model.layers.24.mlp.gate_proj.weight,49823.25,16083.8466796875
model.layers.24.mlp.up_proj.weight,44082.05859375,19068.84765625
model.layers.24.self_attn.k_proj.weight,438087.0,1995.4375
model.layers.24.self_attn.o_proj.weight,48973.390625,4563.14453125
model.layers.24.self_attn.q_proj.weight,951902.0,5572.1435546875
model.layers.24.self_attn.v_proj.weight,285041.9375,2528.103515625
model.layers.25.mlp.down_proj.weight,311034.375,18481.1328125
model.layers.25.mlp.gate_proj.weight,46923.140625,15614.8388671875
model.layers.25.mlp.up_proj.weight,44010.78515625,19147.642578125
model.layers.25.self_attn.k_proj.weight,496640.375,1854.568603515625
model.layers.25.self_attn.o_proj.weight,56907.28125,5024.6591796875
model.layers.25.self_attn.q_proj.weight,1078277.75,5250.36669921875
model.layers.25.self_attn.v_proj.weight,452895.40625,3093.763671875
model.layers.26.mlp.down_proj.weight,404552.03125,17841.552734375
model.layers.26.mlp.gate_proj.weight,46185.078125,15358.4365234375
model.layers.26.mlp.up_proj.weight,44582.3046875,18914.728515625
model.layers.26.self_attn.k_proj.weight,449351.5,1754.37646484375
model.layers.26.self_attn.o_proj.weight,118459.625,4975.9072265625
model.layers.26.self_attn.q_proj.weight,994895.25,6163.685546875
model.layers.26.self_attn.v_proj.weight,479205.0,2919.1611328125
model.layers.27.mlp.down_proj.weight,946583.6875,15374.970703125
model.layers.27.mlp.gate_proj.weight,77538.0390625,17195.421875
model.layers.27.mlp.up_proj.weight,60181.62109375,18382.3828125
model.layers.27.self_attn.k_proj.weight,299561.125,2347.561279296875
model.layers.27.self_attn.o_proj.weight,84014.1015625,5059.947265625
model.layers.27.self_attn.q_proj.weight,590287.6875,5155.65185546875
model.layers.27.self_attn.v_proj.weight,231148.15625,2898.787353515625
model.layers.3.mlp.down_proj.weight,215.31805419921875,11638.9521484375
model.layers.3.mlp.gate_proj.weight,17861.0390625,26365.783203125
model.layers.3.mlp.up_proj.weight,1992.1578369140625,11502.4228515625
model.layers.3.self_attn.k_proj.weight,211.99404907226562,2441.576416015625
model.layers.3.self_attn.o_proj.weight,49.9083251953125,4689.2802734375
model.layers.3.self_attn.q_proj.weight,432.7471618652344,5064.3203125
model.layers.3.self_attn.v_proj.weight,140.80422973632812,2807.9033203125
model.layers.4.mlp.down_proj.weight,306.0946350097656,11664.6494140625
model.layers.4.mlp.gate_proj.weight,12315.919921875,24830.123046875
model.layers.4.mlp.up_proj.weight,2040.0452880859375,11709.1484375
model.layers.4.self_attn.k_proj.weight,218.80673217773438,2287.1298828125
model.layers.4.self_attn.o_proj.weight,84.42935943603516,4489.0654296875
model.layers.4.self_attn.q_proj.weight,392.17852783203125,4913.029296875
model.layers.4.self_attn.v_proj.weight,137.00379943847656,2719.489501953125
model.layers.5.mlp.down_proj.weight,357.4117126464844,13256.83984375
model.layers.5.mlp.gate_proj.weight,3712.8916015625,19645.5546875
model.layers.5.mlp.up_proj.weight,1570.25048828125,13465.3955078125
model.layers.5.self_attn.k_proj.weight,322.5986328125,2353.441650390625
model.layers.5.self_attn.o_proj.weight,111.45567321777344,4536.126953125
model.layers.5.self_attn.q_proj.weight,561.014404296875,5235.3349609375
model.layers.5.self_attn.v_proj.weight,194.9647216796875,2541.48681640625
model.layers.6.mlp.down_proj.weight,456.44970703125,12925.2138671875
model.layers.6.mlp.gate_proj.weight,5133.4072265625,19097.44140625
model.layers.6.mlp.up_proj.weight,2034.750732421875,13589.1162109375
model.layers.6.self_attn.k_proj.weight,246.2026824951172,2252.0126953125
model.layers.6.self_attn.o_proj.weight,139.113037109375,4202.81298828125
model.layers.6.self_attn.q_proj.weight,480.49749755859375,4990.7607421875
model.layers.6.self_attn.v_proj.weight,143.06466674804688,2658.023681640625
model.layers.7.mlp.down_proj.weight,504.326171875,12516.7578125
model.layers.7.mlp.gate_proj.weight,6940.81787109375,20298.634765625
model.layers.7.mlp.up_proj.weight,2589.93115234375,13217.828125
model.layers.7.self_attn.k_proj.weight,525.9913940429688,2085.340087890625
model.layers.7.self_attn.o_proj.weight,213.8044891357422,4242.166015625
model.layers.7.self_attn.q_proj.weight,990.3179321289062,4683.43310546875
model.layers.7.self_attn.v_proj.weight,323.5411376953125,2503.12451171875
model.layers.8.mlp.down_proj.weight,626.1744384765625,13240.7158203125
model.layers.8.mlp.gate_proj.weight,5983.1640625,18500.708984375
model.layers.8.mlp.up_proj.weight,2676.141357421875,13545.328125
model.layers.8.self_attn.k_proj.weight,549.6455078125,2178.97216796875
model.layers.8.self_attn.o_proj.weight,214.61309814453125,4094.138916015625
model.layers.8.self_attn.q_proj.weight,1178.883056640625,4916.50537109375
model.layers.8.self_attn.v_proj.weight,401.7401428222656,2565.5263671875
model.layers.9.mlp.down_proj.weight,844.4888305664062,13405.48828125
model.layers.9.mlp.gate_proj.weight,5319.98388671875,18299.6328125
model.layers.9.mlp.up_proj.weight,2866.703125,14678.890625
model.layers.9.self_attn.k_proj.weight,1169.638427734375,2154.982177734375
model.layers.9.self_attn.o_proj.weight,604.3857421875,4370.03955078125
model.layers.9.self_attn.q_proj.weight,2537.073486328125,5055.8291015625
model.layers.9.self_attn.v_proj.weight,710.5691528320312,2461.201171875
