tensor,wnorm,w2
model.layers.0.mlp.down_proj.weight,14.98364543914795,2165.974853515625
model.layers.0.mlp.gate_proj.weight,990.89599609375,4220.6279296875
model.layers.0.mlp.up_proj.weight,272.4683532714844,2102.85009765625
model.layers.0.self_attn.k_proj.weight,49.40554428100586,983.945556640625
model.layers.0.self_attn.o_proj.weight,19.04054832458496,1396.53955078125
model.layers.0.self_attn.q_proj.weight,91.64254760742188,2059.98095703125
model.layers.0.self_attn.v_proj.weight,23.11841583251953,743.5482177734375
model.layers.1.mlp.down_proj.weight,17.314369201660156,1629.368408203125
model.layers.1.mlp.gate_proj.weight,10534.826171875,6026.84619140625
model.layers.1.mlp.up_proj.weight,802.6802368164062,1719.622802734375
model.layers.1.self_attn.k_proj.weight,15.656099319458008,879.041015625
model.layers.1.self_attn.o_proj.weight,4.3291730880737305,1508.287841796875
model.layers.1.self_attn.q_proj.weight,27.07925796508789,1981.1895751953125
model.layers.1.self_attn.v_proj.weight,8.180158615112305,847.232177734375
model.layers.10.mlp.down_proj.weight,124.54296875,1756.87060546875
model.layers.10.mlp.gate_proj.weight,3214.65380859375,3541.833251953125
model.layers.10.mlp.up_proj.weight,1276.525146484375,2152.742919921875
model.layers.10.self_attn.k_proj.weight,608.2423095703125,761.9400024414062
model.layers.10.self_attn.o_proj.weight,88.93521118164062,1267.998046875
model.layers.10.self_attn.q_proj.weight,1216.12451171875,1757.85693359375
model.layers.10.self_attn.v_proj.weight,343.84539794921875,763.6572265625
model.layers.11.mlp.down_proj.weight,125.89781188964844,1977.1043701171875
model.layers.11.mlp.gate_proj.weight,2332.914306640625,3035.365234375
model.layers.11.mlp.up_proj.weight,1113.8450927734375,2288.235107421875
model.layers.11.self_attn.k_proj.weight,1017.3544921875,742.8798828125
model.layers.11.self_attn.o_proj.weight,237.4303436279297,1137.79833984375
model.layers.11.self_attn.q_proj.weight,2525.78076171875,2050.5146484375
model.layers.11.self_attn.v_proj.weight,563.1658935546875,691.6043701171875
model.layers.12.mlp.down_proj.weight,129.87139892578125,1961.021484375
model.layers.12.mlp.gate_proj.weight,2105.26123046875,2776.437255859375
model.layers.12.mlp.up_proj.weight,1023.265625,2227.8525390625
model.layers.12.self_attn.k_proj.weight,844.9087524414062,691.4181518554688
model.layers.12.self_attn.o_proj.weight,132.29335021972656,1134.3109130859375
model.layers.12.self_attn.q_proj.weight,2028.49462890625,1919.424072265625
model.layers.12.self_attn.v_proj.weight,550.2776489257812,727.84375
model.layers.13.mlp.down_proj.weight,138.26766967773438,1813.536376953125
model.layers.13.mlp.gate_proj.weight,2238.74755859375,2558.82177734375
model.layers.13.mlp.up_proj.weight,1144.04052734375,2050.0458984375
model.layers.13.self_attn.k_proj.weight,923.3182373046875,617.8011474609375
model.layers.13.self_attn.o_proj.weight,239.86593627929688,1064.8216552734375
model.layers.13.self_attn.q_proj.weight,2280.577392578125,1778.058349609375
model.layers.13.self_attn.v_proj.weight,622.7710571289062,724.666015625
model.layers.14.mlp.down_proj.weight,156.957275390625,1753.21728515625
model.layers.14.mlp.gate_proj.weight,2158.13671875,2338.4326171875
model.layers.14.mlp.up_proj.weight,1162.34814453125,1907.982666015625
model.layers.14.self_attn.k_proj.weight,1201.6810302734375,613.0171508789062
model.layers.14.self_attn.o_proj.weight,173.73226928710938,1008.1939697265625
model.layers.14.self_attn.q_proj.weight,2841.79052734375,1710.6220703125
model.layers.14.self_attn.v_proj.weight,765.7501220703125,646.90380859375
model.layers.15.mlp.down_proj.weight,231.68894958496094,1748.60595703125
model.layers.15.mlp.gate_proj.weight,2689.38134765625,2361.103271484375
model.layers.15.mlp.up_proj.weight,1443.312255859375,1986.2879638671875
model.layers.15.self_attn.k_proj.weight,2203.94580078125,546.2316284179688
model.layers.15.self_attn.o_proj.weight,217.79940795898438,1115.646484375
model.layers.15.self_attn.q_proj.weight,5595.88037109375,1778.4471435546875
model.layers.15.self_attn.v_proj.weight,1358.3912353515625,700.94482421875
model.layers.16.mlp.down_proj.weight,660.1533813476562,1787.66650390625
model.layers.16.mlp.gate_proj.weight,3057.4794921875,2317.50146484375
model.layers.16.mlp.up_proj.weight,1784.034912109375,2119.82373046875
model.layers.16.self_attn.k_proj.weight,2857.62353515625,593.0381469726562
model.layers.16.self_attn.o_proj.weight,379.2175598144531,1097.848388671875
model.layers.16.self_attn.q_proj.weight,7721.70751953125,2088.712158203125
model.layers.16.self_attn.v_proj.weight,1669.1282958984375,692.002685546875
model.layers.17.mlp.down_proj.weight,742.56201171875,1812.869140625
model.layers.17.mlp.gate_proj.weight,4501.490234375,2335.20751953125
model.layers.17.mlp.up_proj.weight,2988.49658203125,2267.88671875
model.layers.17.self_attn.k_proj.weight,8527.7763671875,566.7322387695312
model.layers.17.self_attn.o_proj.weight,925.2470703125,1105.4541015625
model.layers.17.self_attn.q_proj.weight,17986.3125,1852.6839599609375
model.layers.17.self_attn.v_proj.weight,4764.3603515625,742.026611328125
model.layers.18.mlp.down_proj.weight,1171.087158203125,1971.93212890625
model.layers.18.mlp.gate_proj.weight,5510.44873046875,2333.33544921875
model.layers.18.mlp.up_proj.weight,3895.3359375,2313.95263671875
model.layers.18.self_attn.k_proj.weight,6704.201171875,541.4464111328125
model.layers.18.self_attn.o_proj.weight,555.8170166015625,1020.5978393554688
model.layers.18.self_attn.q_proj.weight,20084.857421875,1925.0517578125
