n_params,rows,cols,sqnr_db,nmse,max_abs_err,rms_weight,kurtosis,block_kurtosis,block_crest,code_entropy,code_entropy_ratio,scale_entropy,scale_span,zero_rate,top_level_rate,sat_rate,sat_block_rate,n_blocks,bits_per_value,bytes_bf16,bytes_mx,model,tensor,fmt,role,layer,dtype
311164928,151936,2048,18.87665918790188,0.01295191785152193,0.060546875,0.034497900274589974,3.1999580978416295,2.88327318896942,2.3773409289879868,3.8340053450834084,0.9585013362708521,0.8559906991072581,5,0.08583374473359671,0.0476461987386959,0.018805946536493985,0.3226190838576769,9723904,4.25,622329856,165306368,Qwen3-1.7B,model.embed_tokens.weight,mxfp4,embed_tokens,-1,bfloat16
311164928,151936,2048,30.75556847742947,0.0008403170051226966,0.029296875,0.034497900274589974,3.1999580978416295,2.88327318896942,2.3773409289879868,6.506118710253382,0.8132648387816728,0.8559906991072581,5,5.138753940804022e-06,0.00879302824256595,0.006132480971634438,0.13465959762663227,9723904,8.25,622329856,320888832,Qwen3-1.7B,model.embed_tokens.weight,mxfp8,embed_tokens,-1,bfloat16
12582912,2048,6144,18.772860724125312,0.013265203828505023,0.12109375,0.033225512436934015,3.5449442459939644,2.9740447998046875,2.419132391611735,3.8228478601128524,0.9557119650282131,0.7761599153623671,5,0.09085408846537273,0.04609036445617676,0.019215822219848633,0.30003102620442706,393216,4.25,25165824,6684672,Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,mxfp4,down_proj,0,bfloat16
12582912,2048,6144,30.691190786536822,0.0008528662356431941,0.05078125,0.033225512436934015,3.5449442459939644,2.9740447998046875,2.419132391611735,6.5325973969491145,0.8165746746186393,0.7761599153623671,5,5.563100179036458e-06,0.009396076202392578,0.006647427876790364,0.13928731282552084,393216,8.25,25165824,12976128,Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,mxfp8,down_proj,0,bfloat16
12582912,6144,2048,18.752955211559385,0.013326143293511065,0.12109375,0.03854541266339661,3.8002537673404477,2.942603905995687,2.407111962636312,3.833319600082626,0.9583299000206565,0.7807611813563625,4,0.09217206637064616,0.0489045778910319,0.01930522918701172,0.354278564453125,393216,4.25,25165824,6684672,Qwen3-1.7B,model.layers.0.mlp.gate_proj.weight,mxfp4,gate_proj,0,bfloat16
12582912,6144,2048,30.596537771151443,0.0008716582056356133,0.04296875,0.03854541266339661,3.8002537673404477,2.942603905995687,2.407111962636312,6.5380971559462715,0.8172621444932839,0.7807611813563625,4,5.8015187581380206e-06,0.00890660285949707,0.006154696146647136,0.1434478759765625,393216,8.25,25165824,12976128,Qwen3-1.7B,model.layers.0.mlp.gate_proj.weight,mxfp8,gate_proj,0,bfloat16
12582912,6144,2048,18.751530085179734,0.013330516951357346,0.0615234375,0.0314301128259109,3.232178563544397,2.9450840950012207,2.4083563486735025,3.827702043923416,0.956925510980854,0.8143531510074163,4,0.09547019004821777,0.05032507578531901,0.021986007690429688,0.3064015706380208,393216,4.25,25165824,6684672,Qwen3-1.7B,model.layers.0.mlp.up_proj.weight,mxfp4,up_proj,0,bfloat16
12582912,6144,2048,30.63487606105796,0.0008639973170845793,0.0302734375,0.0314301128259109,3.232178563544397,2.9450840950012207,2.4083563486735025,6.559758491756526,0.8199698114695657,0.8143531510074163,4,4.927317301432292e-06,0.01101525624593099,0.007831811904907227,0.1616948445638021,393216,8.25,25165824,12976128,Qwen3-1.7B,model.layers.0.mlp.up_proj.weight,mxfp8,up_proj,0,bfloat16
2097152,1024,2048,18.775478715593263,0.013257209776851256,0.125,0.03577142656869928,4.541374362736633,2.9356274604797363,2.4065675735473633,3.834945405241711,0.9587363513104278,1.016935206208493,6,0.08806514739990234,0.049404144287109375,0.019761085510253906,0.3553924560546875,65536,4.25,4194304,1114112,Qwen3-1.7B,model.layers.0.self_attn.k_proj.weight,mxfp4,k_proj,0,bfloat16
2097152,1024,2048,30.630973164419245,0.0008647741190074781,0.0302734375,0.03577142656869928,4.541374362736633,2.9356274604797363,2.4065675735473633,6.52225669546465,0.8152820869330812,1.016935206208493,6,4.291534423828125e-06,0.009238243103027344,0.006450653076171875,0.1505889892578125,65536,8.25,4194304,2162688,Qwen3-1.7B,model.layers.0.self_attn.k_proj.weight,mxfp8,k_proj,0,bfloat16
4194304,2048,2048,18.746224170023993,0.01334681322482941,0.0859375,0.03237382879219113,5.64249183818442,2.890944004058838,2.3894286155700684,3.844888018297832,0.961222004574458,1.1420147415922723,5,0.08827805519104004,0.05600309371948242,0.024060964584350586,0.37225341796875,131072,4.25,8388608,2228224,Qwen3-1.7B,model.layers.0.self_attn.o_proj.weight,mxfp4,o_proj,0,bfloat16
4194304,2048,2048,30.537765121491596,0.0008835344500987914,0.0302734375,0.03237382879219113,5.64249183818442,2.890944004058838,2.3894286155700684,6.535818871155536,0.816977358894442,1.1420147415922723,5,7.867813110351562e-06,0.011701822280883789,0.008230924606323242,0.18477630615234375,131072,8.25,8388608,4325376,Qwen3-1.7B,model.layers.0.self_attn.o_proj.weight,mxfp8,o_proj,0,bfloat16
4194304,2048,2048,18.701720231704243,0.013484286669160114,0.123046875,0.03517007224899822,4.667024135224254,2.999080181121826,2.4277992248535156,3.8338240476246526,0.9584560119061631,1.0926836266514621,6,0.0893707275390625,0.04967665672302246,0.02024221420288086,0.36217498779296875,131072,4.25,8388608,2228224,Qwen3-1.7B,model.layers.0.self_attn.q_proj.weight,mxfp4,q_proj,0,bfloat16
4194304,2048,2048,30.555224990026247,0.0008799895218853663,0.060546875,0.03517007224899822,4.667024135224254,2.999080181121826,2.4277992248535156,6.5317357891383345,0.8164669736422918,1.0926836266514621,6,5.7220458984375e-06,0.009540796279907227,0.0066564083099365234,0.15515899658203125,131072,8.25,8388608,4325376,Qwen3-1.7B,model.layers.0.self_attn.q_proj.weight,mxfp8,q_proj,0,bfloat16
2097152,1024,2048,18.801396439633617,0.013178329316448625,0.0341796875,0.03354769789635256,3.267301878172596,2.964587688446045,2.419440269470215,3.82549963429148,0.95637490857287,0.7288435073452048,3,0.09097814559936523,0.04672384262084961,0.01914215087890625,0.3180084228515625,65536,4.25,4194304,1114112,Qwen3-1.7B,model.layers.0.self_attn.v_proj.weight,mxfp4,v_proj,0,bfloat16
2097152,1024,2048,30.698955773689857,0.0008513427121341812,0.01513671875,0.03354769789635256,3.267301878172596,2.964587688446045,2.419440269470215,6.534025721798324,0.8167532152247905,0.7288435073452048,3,4.291534423828125e-06,0.009186267852783203,0.006482124328613281,0.13946533203125,65536,8.25,4194304,2162688,Qwen3-1.7B,model.layers.0.self_attn.v_proj.weight,mxfp8,v_proj,0,bfloat16
12582912,2048,6144,18.485397920764353,0.014172948463605449,0.1171875,0.02907968387818614,4.503691173447679,3.3538525899251304,2.5391926765441895,3.8028085230814224,0.9507021307703556,1.0060905089579646,5,0.11116909980773926,0.05146710077921549,0.02322244644165039,0.35441335042317706,393216,4.25,25165824,6684672,Qwen3-1.7B,model.layers.1.mlp.down_proj.weight,mxfp4,down_proj,1,bfloat16
12582912,2048,6144,30.410440771123277,0.0009098209290358132,0.041015625,0.02907968387818614,4.503691173447679,3.3538525899251304,2.5391926765441895,6.64109475994395,0.8301368449929938,1.0060905089579646,5,6.039937337239583e-06,0.011761347452799479,0.008382876714070639,0.1875279744466146,393216,8.25,25165824,12976128,Qwen3-1.7B,model.layers.1.mlp.down_proj.weight,mxfp8,down_proj,1,bfloat16
12582912,6144,2048,18.619342091193623,0.013742501431632661,0.103515625,0.04482404016945365,3.5450864224741765,3.277071475982666,2.4638048807779946,3.855546936225778,0.9638867340564445,1.2707265249472766,6,0.09209442138671875,0.0635698636372884,0.026859839757283527,0.4828135172526042,393216,4.25,25165824,6684672,Qwen3-1.7B,model.layers.1.mlp.gate_proj.weight,mxfp4,gate_proj,1,bfloat16
12582912,6144,2048,30.265164943847545,0.0009407700991689288,0.041015625,0.04482404016945365,3.5450864224741765,3.277071475982666,2.4638048807779946,6.563658521615863,0.8204573152019828,1.2707265249472766,6,5.3246815999348956e-06,0.012662808100382486,0.00876180330912272,0.22210184733072916,393216,8.25,25165824,12976128,Qwen3-1.7B,model.layers.1.mlp.gate_proj.weight,mxfp8,gate_proj,1,bfloat16
12582912,6144,2048,18.667814903444608,0.013589970363975775,0.087890625,0.028549584434150736,4.007741420823381,2.980379263559977,2.417513132095337,3.8464121965862397,0.9616030491465599,1.457250395306966,7,0.09065572420756023,0.05829540888468424,0.025392452875773113,0.40246327718098956,393216,4.25,25165824,6684672,Qwen3-1.7B,model.layers.1.mlp.up_proj.weight,mxfp4,up_proj,1,bfloat16
12582912,6144,2048,30.436867464757597,0.0009043015047919081,0.0302734375,0.028549584434150736,4.007741420823381,2.980379263559977,2.417513132095337,6.550759433051758,0.8188449291314698,1.457250395306966,7,6.4373016357421875e-06,0.012386798858642578,0.00871125857035319,0.2017033894856771,393216,8.25,25165824,12976128,Qwen3-1.7B,model.layers.1.mlp.up_proj.weight,mxfp8,up_proj,1,bfloat16
2097152,1024,2048,18.668303978502465,0.013588440033384738,0.080078125,0.0337431775947199,4.769542366165509,2.9529004096984863,2.413180112838745,3.839247299029216,0.959811824757304,1.2177648608082803,5,0.08897781372070312,0.05312681198120117,0.02240276336669922,0.367706298828125,65536,4.25,4194304,1114112,Qwen3-1.7B,model.layers.1.self_attn.k_proj.weight,mxfp4,k_proj,1,bfloat16
2097152,1024,2048,30.501518493657503,0.0008909393702040496,0.0302734375,0.0337431775947199,4.769542366165509,2.9529004096984863,2.413180112838745,6.535708096865896,0.816963512108237,1.2177648608082803,5,5.7220458984375e-06,0.010806083679199219,0.0075931549072265625,0.17333984375,65536,8.25,4194304,2162688,Qwen3-1.7B,model.layers.1.self_attn.k_proj.weight,mxfp8,k_proj,1,bfloat16
4194304,2048,2048,18.78245745582002,0.013235923683643399,0.0615234375,0.032472287763204793,3.7623913725653884,2.9034976959228516,2.3962185382843018,3.8381493688020036,0.9595373422005009,0.9971687438076893,4,0.08823728561401367,0.05186033248901367,0.021561145782470703,0.35128021240234375,131072,4.25,8388608,2228224,Qwen3-1.7B,model.layers.1.self_attn.o_proj.weight,mxfp4,o_proj,1,bfloat16
