n_params,rows,cols,sqnr_db,nmse,max_abs_err,rms_weight,kurtosis,block_kurtosis,block_crest,code_entropy,code_entropy_ratio,scale_entropy,scale_span,zero_rate,top_level_rate,sat_rate,sat_block_rate,n_blocks,bits_per_value,bytes_bf16,bytes_mx,model,tensor,fmt,role,layer,dtype
388956160,151936,2560,18.69905381663202,0.013492568087974235,0.0341796875,0.021953146938105184,3.277341682578252,2.858260245833361,2.373790583494037,3.8620486769175217,0.9655121692293804,0.9685912143915812,6,0.08186088118517007,0.06240156217091407,0.024984306714669335,0.48075266888689977,12154880,4.25,777912320,206632960,Qwen3-4B,model.embed_tokens.weight,mxfp4,embed_tokens,-1,bfloat16
388956160,151936,2560,30.35958082313144,0.0009205384169505797,0.01513671875,0.021953146938105184,3.277341682578252,2.858260245833361,2.373790583494037,6.505316826027469,0.8131646032534336,0.9685912143915812,6,5.039128317186184e-06,0.011283844945404645,0.0076739316842288855,0.19963175284330245,12154880,8.25,777912320,401111040,Qwen3-4B,model.embed_tokens.weight,mxfp8,embed_tokens,-1,bfloat16
24903680,2560,9728,18.59799666399964,0.013810211622651452,0.107421875,0.02327514767888645,4.026603175992619,2.9383255807976973,2.4078359503495066,3.862408410739878,0.9656021026849695,0.9178463170962707,6,0.08454561735454359,0.06435956453022204,0.0266673439427426,0.5064877158717105,778240,4.25,49807360,13230080,Qwen3-4B,model.layers.0.mlp.down_proj.weight,mxfp4,down_proj,0,bfloat16
24903680,2560,9728,30.2481742819978,0.0009444578307366239,0.044921875,0.02327514767888645,4.026603175992619,2.9383255807976973,2.4078359503495066,6.52560905009606,0.8157011312620075,0.9178463170962707,6,6.4649079975328945e-06,0.01232805754009046,0.008470193963301809,0.2228245785361842,778240,8.25,49807360,25681920,Qwen3-4B,model.layers.0.mlp.down_proj.weight,mxfp8,down_proj,0,bfloat16
24903680,9728,2560,18.622006926035187,0.013734071606949906,0.064453125,0.023627600275529233,3.3292080767333987,2.8831514860454357,2.3843054922003497,3.866754666102995,0.9666886665257487,0.8637111612780182,6,0.08548270777652138,0.06751990067331415,0.028121787623355262,0.5194965563322368,778240,4.25,49807360,13230080,Qwen3-4B,model.layers.0.mlp.gate_proj.weight,mxfp4,gate_proj,0,bfloat16
24903680,9728,2560,30.244461451451464,0.0009452656031991671,0.03125,0.023627600275529233,3.3292080767333987,2.8831514860454357,2.3843054922003497,6.530878282810039,0.8163597853512549,0.8637111612780182,6,6.023206208881579e-06,0.012959209241365132,0.008857124730160362,0.23114720394736843,778240,8.25,49807360,25681920,Qwen3-4B,model.layers.0.mlp.gate_proj.weight,mxfp8,gate_proj,0,bfloat16
24903680,9728,2560,18.675937609251445,0.013564576496409155,0.0576171875,0.022056155245918866,3.2023606489911773,2.8812538146972657,2.383987747995477,3.8628096648997814,0.9657024162249453,0.7093412977156277,5,0.08429384733501234,0.06344158774928042,0.025225669459292763,0.5092554995888158,778240,4.25,49807360,13230080,Qwen3-4B,model.layers.0.mlp.up_proj.weight,mxfp4,up_proj,0,bfloat16
24903680,9728,2560,30.327977800754795,0.0009272614823259207,0.0263671875,0.022056155245918866,3.2023606489911773,2.8812538146972657,2.383987747995477,6.5184048520373805,0.8148006065046726,0.7093412977156277,5,5.501195004111842e-06,0.01127773084138569,0.007631964432565789,0.2062461451480263,778240,8.25,49807360,25681920,Qwen3-4B,model.layers.0.mlp.up_proj.weight,mxfp8,up_proj,0,bfloat16
2621440,1024,2560,18.613894290711293,0.013759750875268208,0.0595703125,0.02457594606801627,3.737104996266856,2.875315475463867,2.3854743957519533,3.865652884454821,0.9664132211137052,1.1006137268460494,5,0.08402557373046875,0.06688613891601562,0.028568267822265625,0.49808349609375,81920,4.25,5242880,1392640,Qwen3-4B,model.layers.0.self_attn.k_proj.weight,mxfp4,k_proj,0,bfloat16
2621440,1024,2560,30.22696058622887,0.0009490824471186502,0.0283203125,0.02457594606801627,3.737104996266856,2.875315475463867,2.3854743957519533,6.525364459172716,0.8156705573965894,1.1006137268460494,5,5.340576171875e-06,0.013396835327148438,0.009274673461914063,0.23428955078125,81920,8.25,5242880,2703360,Qwen3-4B,model.layers.0.self_attn.k_proj.weight,mxfp8,k_proj,0,bfloat16
10485760,2560,4096,18.69156879864748,0.013515842432556375,0.119140625,0.021706216063336996,5.79014871172816,2.895828628540039,2.390055847167969,3.848996674107397,0.9622491685268493,0.9676388022648531,5,0.08545589447021484,0.055816936492919925,0.022696495056152344,0.410797119140625,327680,4.25,20971520,5570560,Qwen3-4B,model.layers.0.self_attn.o_proj.weight,mxfp4,o_proj,0,bfloat16
10485760,2560,4096,30.424038473493276,0.0009069767466999668,0.056640625,0.021706216063336996,5.79014871172816,2.895828628540039,2.390055847167969,6.518639348654773,0.8148299185818466,0.9676388022648531,5,5.340576171875e-06,0.010545921325683594,0.007263946533203125,0.1763153076171875,327680,8.25,20971520,10813440,Qwen3-4B,model.layers.0.self_attn.o_proj.weight,mxfp8,o_proj,0,bfloat16
