model,tensor,role,layer,fmt,alpha,n_params,bits_per_value,bits_codes,bits_scales,bytes,changed_frac,has_calib,werr,werr_mxonly,mse,mse_mxonly
Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp4,0.0,12582912,3.8737640380859375,3.8375981648763022,0.036165873209635414,6092904,0.0,True,0.9878047704696655,0.9878047704696655,1.4643916983914096e-05,1.4643916983914096e-05
Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp4,1.0,12582912,2.951307932535807,2.915142059326172,0.036165873209635414,4642006,0.6397492090861002,True,5.617915630340576,0.9878047704696655,0.00010329568613087758,1.4643916983914096e-05
Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp4,5.0,12582912,2.917191823323568,2.881025950113932,0.036165873209635414,4588346,0.6523577372233073,True,6.03145170211792,0.9878047704696655,0.00010519384522922337,1.4643916983914096e-05
Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp8,0.0,12582912,6.652776718139648,6.616610844930013,0.036165873209635414,10463913,0.0,True,0.06337160617113113,0.06337160617113113,9.41508631058241e-07,9.41508631058241e-07
Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp8,1.0,12582912,5.994370778401692,5.958204905192058,0.036165873209635414,9428330,0.733684221903483,True,0.3163607716560364,0.06337160617113113,5.982064521958819e-06,9.41508631058241e-07
Qwen3-1.7B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp8,5.0,12582912,5.957672119140625,5.921506245930989,0.036165873209635414,9370608,0.7723429997762045,True,0.37640851736068726,0.06337160617113113,6.783255230402574e-06,9.41508631058241e-07
Qwen3-1.7B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp4,0.0,12582912,3.8841260274251304,3.849725087483724,0.03440093994140625,6109202,0.0,True,9.864439010620117,9.864439010620117,1.9799303117906675e-05,1.9799303117906675e-05
Qwen3-1.7B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp4,1.0,12582912,3.2694276173909507,3.2350266774495444,0.03440093994140625,5142365,0.46646833419799805,True,27.331390380859375,9.864439010620117,9.382796270074323e-05,1.9799303117906675e-05
Qwen3-1.7B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp4,5.0,12582912,2.9572976430257163,2.92289670308431,0.03440093994140625,4651427,0.6453304290771484,True,40.791648864746094,9.864439010620117,0.00013791928358841687,1.9799303117906675e-05
Qwen3-1.7B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp8,0.0,12582912,6.653135935465495,6.618734995524089,0.03440093994140625,10464478,0.0,True,0.6945134997367859,0.6945134997367859,1.2950650898346794e-06,1.2950650898346794e-06
